,ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title,Gene.ID
0,213071_at,8.4e-08,3.77e-12,-15.5,16.3823632,-1.22,DPT,dermatopontin,1805
1,202995_s_at,8.59e-08,7.71e-12,-14.9,15.8509715,-0.8,FBLN1,fibulin 1,2192
2,204955_at,1.38e-07,2.14e-11,-14.0,15.0735926,-0.849,SRPX,"sushi repeat containing protein, X-linked",8406
3,214349_at,1.38e-07,3.11e-11,-13.7,14.7820063,-1.31,,,
4,202994_s_at,1.38e-07,3.59e-11,-13.6,14.6698116,-1.26,FBLN1,fibulin 1,2192
5,211896_s_at,1.38e-07,4.13e-11,-13.5,14.5582917,-1.36,DCN,decorin,1634
6,209335_at,1.38e-07,4.33e-11,-13.5,14.5219027,-1.19,DCN,decorin,1634
7,211813_x_at,1.93e-07,6.94e-11,-13.1,14.1470477,-1.64,DCN,decorin,1634
8,209687_at,3.35e-07,1.35e-10,-12.6,13.6108415,-1.2,CXCL12,C-X-C motif chemokine ligand 12,6387
9,201893_x_at,3.83e-07,1.72e-10,-12.4,13.4158363,-1.49,DCN,decorin,1634
10,213068_at,1.18e-06,5.81e-10,-11.5,12.4105248,-1.0,DPT,dermatopontin,1805
11,219059_s_at,1.43e-06,7.7e-10,-11.3,12.1736533,-0.716,LYVE1,lymphatic vessel endothelial hyaluronan receptor 1,10894
12,205907_s_at,5.23e-06,3.05e-09,-10.4,10.9991226,-0.53,OMD,osteomodulin,4958
13,201525_at,1.68e-05,1.06e-08,-9.64,9.9098265,-1.02,APOD,apolipoprotein D,347
14,201787_at,1.68e-05,1.16e-08,-9.59,9.8343245,-0.547,FBLN1,fibulin 1,2192
15,209613_s_at,1.68e-05,1.21e-08,-9.56,9.7971646,-0.709,ADH1B,"alcohol dehydrogenase 1B (class I), beta polypeptide",125
16,203131_at,1.91e-05,1.46e-08,-9.45,9.6330761,-0.778,PDGFRA,platelet derived growth factor receptor alpha,5156
17,202992_at,2.34e-05,1.89e-08,-9.29,9.4009554,-1.11,C7,complement component 7,730
18,204872_at,3.95e-05,3.36e-08,-8.95,8.8872469,-0.666,TLE4,transducin like enhancer of split 4,7091
19,207977_s_at,4.39e-05,3.94e-08,-8.86,8.7449081,-0.971,DPT,dermatopontin,1805
20,211726_s_at,6.08e-05,5.73e-08,-8.64,8.4079529,-0.599,FMO2,flavin containing monooxygenase 2,2327
23,219093_at,7.1e-05,7.64e-08,-8.48,8.1483069,-0.553,PID1,phosphotyrosine interaction domain containing 1,55022
24,209612_s_at,8.16e-05,9.16e-08,-8.38,7.9842219,-0.632,ADH1B,"alcohol dehydrogenase 1B (class I), beta polypeptide",125
25,205382_s_at,0.000147,1.72e-07,-8.03,7.4124849,-0.856,CFD,complement factor D,1675
27,220037_s_at,0.000149,1.88e-07,-7.98,7.3304209,-0.707,LYVE1,lymphatic vessel endothelial hyaluronan receptor 1,10894
28,201744_s_at,0.000255,3.32e-07,-7.68,6.8080141,-1.24,LUM,lumican,4060
29,203766_s_at,0.000416,5.6e-07,-7.4,6.3251244,-0.83,LMOD1,leiomodin 1,25802
